date,close,volume,open,high,low
2/1/16,126.51,4616858,124.92,127.09,123.99
1/29/16,125.76,7616144,123.17,125.76,122.75
1/28/16,122.28,4868943,121.97,122.69,120.31
1/27/16,121.57,5407642,122.46,124.32,120.86
1/26/16,122.2,4469344,121.73,122.45,120.64
1/25/16,121.71,4848860,123.38,123.85,121.56
1/22/16,122.76,6553875,121.64,124.67,121.58
1/21/16,120.22,8992723,117.38,121.94,117.14
1/20/16,116.46,11329730,117.89,118.66,113.5865
1/19/16,119.76,6343204,120.54,121.89,118.8
1/15/16,119.23,10514790,117.12,121.15,116.1
1/14/16,119.62,13380210,121.29,121.515,118.2
1/13/16,121.4,8915501,127.47,127.47,120.97
1/12/16,127.49,5686249,126.78,128.8,125.83
1/11/16,125.78,6784380,124.87,126.08,124.09
1/8/16,123.9,7094629,126.44,126.53,123.5
1/7/16,125.4,12542370,126.93,127.88,124.7
1/6/16,129.08,8198704,129,129.9,128.56
1/5/16,130.43,5316011,131.15,131.94,130.05
1/4/16,131.07,8046245,130.11,131.07,129.45
12/31/15,132.25,3178722,133.08,133.5684,132.24
12/30/15,133.35,2484809,133.58,134.06,133.28
12/29/15,133.7,3037199,133.37,134.3299,133.276
12/28/15,132.68,2607218,132.25,132.9,131.89
12/24/15,132.9,1517075,132.8,133.48,132.66
12/23/15,133.11,3240828,132.49,133.34,131.88
12/22/15,131.88,3398101,131.37,132.2815,130.46
12/21/15,131.31,3409668,131,131.61,130.18
12/18/15,130.29,9807483,130.73,131.31,130.015
12/17/15,131.35,4342642,133.06,133.54,130.995
12/16/15,132.9,4707901,132.17,133.28,130.36
12/15/15,131.29,4921673,132.62,133.49,131.19
12/14/15,132.01,5954492,131.09,132.1255,130.71
12/11/15,130.44,5300539,131.09,132.19,130.31
12/10/15,132.54,4186201,131.96,133.59,131.8
12/9/15,131.9,5054959,133.21,134.78,131.51
12/8/15,133.84,4731195,132.71,134.56,132.41
12/7/15,133.93,5443157,134,134.79,133.1896
12/4/15,134.53,5386788,131.55,134.8299,131.35
12/3/15,130.93,6687458,133.52,134.12,130.8
12/2/15,133.81,5021711,134.56,134.65,133.57
12/1/15,134.43,5267125,133.52,134.63,133.26
11/30/15,133.88,7922742,135.2,135.32,133.01
11/27/15,134.74,3337790,134.81,135.47,134.53
11/25/15,134.65,5299413,133.69,135.24,133.55
11/24/15,133.6,6670001,131.93,133.93,131.74
11/23/15,132.5,6328626,130.21,132.64,130.21
11/20/15,130.21,8187484,127.36,130.21,127.09
11/19/15,126.86,4658096,126.53,127.62,125.95
11/18/15,126.54,6489105,126.44,126.73,124.66
11/17/15,126.18,10508290,124.86,126.34,123.1
11/16/15,120.84,7769342,120.05,121.03,118.61
11/13/15,120,8718716,123.1,123.25,119.9
11/12/15,123.81,4282942,124.18,124.97,123.06
11/11/15,124.71,3247436,125.43,125.43,124.52
11/10/15,125.26,3872569,124.49,125.41,124.04
11/9/15,124.5,4988613,125.8,126.12,123.71
11/6/15,125.98,3751456,125.27,126.1092,124.82
11/5/15,125.72,3080925,125.46,126.008,124.95
11/4/15,125.38,4101588,125.48,125.87,124.62
11/3/15,125.66,4313696,124.23,126.04,123.81
11/2/15,124.41,3715524,124.24,124.64,123.38
10/30/15,123.64,4991511,123.27,124.75,123.27
10/29/15,123.63,4635293,123.42,124.07,122.75
10/28/15,123.82,6821538,124.38,124.59,122.22
10/27/15,124.47,3674795,124.51,125.09,123.82
10/26/15,125.01,4550013,124.55,125.66,124.02
10/23/15,124.61,5278729,125.01,125.75,122.97
10/22/15,124.36,5854207,123.9,124.48,122.88
10/21/15,123.3,3491996,123.29,124.02,122.75
10/20/15,122.85,3318157,122.89,123.17,122.35
10/19/15,123.1,3096601,122.61,123.2,122.2
10/16/15,122.74,4064197,121.63,122.82,121.63
10/15/15,121.81,3444075,120.62,122.03,120.4
10/14/15,120.27,5200401,121.33,121.88,119.56
10/13/15,121.61,2968903,121.77,122.29,121.14
10/12/15,121.9,2861888,121.49,122.45,121
10/9/15,121.33,3893261,121.27,121.5,120.47
10/8/15,121.06,4954066,119.31,121.23,119.15
10/7/15,119.65,4810650,119.2,119.84,118.49
10/6/15,118.68,5272348,119.1,119.2,117.97
10/5/15,119.2,4528383,118.75,119.29,117.91
10/2/15,117.81,4359213,115.56,117.9,114.71
10/1/15,117.03,5208609,116.23,117.13,114.74
9/30/15,115.49,5389841,114.37,115.63,114
9/29/15,112.91,7904719,114.21,114.93,111.8
9/28/15,114.1,5990974,116.53,117.38,113.85
9/25/15,116.74,5477767,117.23,118.165,116.04
9/24/15,116.34,5169510,115.34,116.65,114.8401
9/23/15,116.17,4084807,115.85,116.55,115.66
9/22/15,115.8,4629943,115.4,116.39,114.89
9/21/15,116.58,5201539,115.96,117.11,115.27
9/18/15,115.12,11364370,116.51,117.2,114.98
9/17/15,117.91,6547673,118.33,119.82,117.271
9/16/15,117.82,5282176,116.08,118.025,115.97
9/15/15,116.18,4991266,114.78,116.63,113.9
9/14/15,114.73,4247741,115.5,115.68,114.415
9/11/15,115.44,4472436,113.97,115.46,113.7
9/10/15,114.49,5253580,114,115.41,113.69
9/9/15,113.97,5286652,117.11,117.47,113.7
9/8/15,116.43,5775492,115.69,116.64,114.73
9/4/15,114.42,5748848,114.68,115.69,113.49
9/3/15,116.6,5290782,117.03,118.08,116.18
9/2/15,116.48,6486188,114.83,116.48,114.32
9/1/15,113.07,7388487,113.99,114.75,112.56
8/31/15,116.46,5443965,117.01,117.49,115.93
8/28/15,117.52,5015891,117.43,118.46,116.92
8/27/15,117.66,7569258,117.5,118.09,115.33
8/26/15,115.93,9309031,114.06,116.03,112.08
8/25/15,110.97,10211810,117,117,110.89
8/24/15,112.54,13981320,110.05,115.88,92.1685
8/21/15,116.16,10180150,119.54,120.36,116.15
8/20/15,120.54,5554262,121.98,122.53,120.54
8/19/15,122.76,6487106,122.67,123.79,122.13
8/18/15,122.8,11020570,121.83,123.8,121.15
8/17/15,119.7,7236355,119.1,120.75,118.73
8/14/15,119.75,5133922,119.3,119.89,118.46
8/13/15,119.02,6255309,118,120.14,117.79
8/12/15,117.69,4619961,117.13,117.88,115.7
8/11/15,117.69,4080003,117.02,118.14,116.76
8/10/15,117.6,3408870,117.53,118.34,117.36
